"Date","Team","Acquired","Relinquished","Notes","Player","Season"
2017-03-06,"Cavaliers","• LeBron James","","returned to lineup","LeBron James","2016-17"
2017-03-18,"Cavaliers","","• LeBron James","rest (DTD)","LeBron James","2016-17"
2017-03-19,"Cavaliers","• LeBron James","","returned to lineup","LeBron James","2016-17"
2017-04-10,"Cavaliers","","• LeBron James","rest (DTD)","LeBron James","2016-17"
2017-04-12,"Cavaliers","","• LeBron James","placed on IL for rest","LeBron James","2016-17"
2018-12-26,"Lakers","","• LeBron James","strained left groin (DTD)","LeBron James","2018-19"
2018-12-27,"Lakers","","• LeBron James","placed on IL with strained left groin","LeBron James","2018-19"
2019-01-31,"Lakers","• LeBron James","","activated from IL","LeBron James","2018-19"
2019-02-02,"Lakers","","• LeBron James","placed on IL with strained left groin","LeBron James","2018-19"
2019-03-15,"Lakers","","• LeBron James","placed on IL","LeBron James","2018-19"
2019-03-17,"Lakers","• LeBron James","","activated from IL","LeBron James","2018-19"
2019-03-19,"Lakers","","• LeBron James","placed on IL with left groin injury","LeBron James","2018-19"
2019-03-22,"Lakers","• LeBron James","","activated from IL","LeBron James","2018-19"
2019-03-27,"Lakers","","• LeBron James","placed on IL","LeBron James","2018-19"
2019-03-29,"Lakers","• LeBron James","","activated from IL","LeBron James","2018-19"
2019-03-30,"Lakers","","• LeBron James","left groin injury (out for season)","LeBron James","2018-19"
2019-03-31,"Lakers","","• LeBron James","placed on IL with left groin injury (out for season)","LeBron James","2018-19"
2019-12-22,"Lakers","","• LeBron James","placed on IL with strained thoracic muscle","LeBron James","2019-20"
2019-12-25,"Lakers","• LeBron James","","activated from IL","LeBron James","2019-20"
2020-01-11,"Lakers","","• LeBron James","placed on IL with illness","LeBron James","2019-20"
2020-01-13,"Lakers","• LeBron James","","activated from IL","LeBron James","2019-20"
2020-02-26,"Lakers","","• LeBron James","left groin injury (DTD)","LeBron James","2019-20"
2020-02-27,"Lakers","","• LeBron James","placed on IL with left groin injury","LeBron James","2019-20"
2020-02-29,"Lakers","• LeBron James","","activated from IL","LeBron James","2019-20"
2021-03-03,"Lakers","","• LeBron James","placed on IL with sore left ankle","LeBron James","2020-21"
2021-03-12,"Lakers","• LeBron James","","activated from IL","LeBron James","2020-21"
2021-03-21,"Lakers","","• LeBron James","placed on IL with right high ankle sprain","LeBron James","2020-21"
2021-04-30,"Lakers","• LeBron James","","activated from IL","LeBron James","2020-21"
2021-10-26,"Lakers","","• LeBron James","sore right ankle (DTD)","LeBron James","2021-22"
2021-10-29,"Lakers","• LeBron James","","returned to lineup","LeBron James","2021-22"
2021-11-04,"Lakers","","• LeBron James","placed on IL with strained abdominal","LeBron James","2021-22"
2021-11-19,"Lakers","• LeBron James","","activated from IL","LeBron James","2021-22"
2021-11-30,"Lakers","","• LeBron James","placed on IL with NBA health and safety protocols","LeBron James","2021-22"
2021-12-02,"Lakers","• LeBron James","","activated from IL","LeBron James","2021-22"
2022-01-27,"Lakers","","• LeBron James","placed on IL with sore left knee","LeBron James","2021-22"
2022-02-05,"Lakers","• LeBron James","","activated from IL","LeBron James","2021-22"
2022-03-07,"Lakers","","• LeBron James","sore left knee (DTD)","LeBron James","2021-22"
2022-03-09,"Lakers","• LeBron James","","returned to lineup","LeBron James","2021-22"
2022-03-23,"Lakers","","• LeBron James","placed on IL with sore left knee","LeBron James","2021-22"
2022-03-27,"Lakers","• LeBron James","","activated from IL","LeBron James","2021-22"
2022-03-29,"Lakers","","• LeBron James","placed on IL with sprained left ankle","LeBron James","2021-22"
2022-04-01,"Lakers","• LeBron James","","activated from IL","LeBron James","2021-22"
2022-04-03,"Lakers","","• LeBron James","placed on IL with sprained left ankle (out for season)","LeBron James","2021-22"
2022-11-10,"Lakers","","• LeBron James","placed on IL with strained left adductor","LeBron James","2022-23"
2022-11-25,"Lakers","• LeBron James","","activated from IL","LeBron James","2022-23"
2022-12-07,"Lakers","","• LeBron James","placed on IL with sore left ankle","LeBron James","2022-23"
2022-12-09,"Lakers","• LeBron James","","activated from IL","LeBron James","2022-23"
2022-12-19,"Lakers","","• LeBron James","placed on IL with sore left ankle","LeBron James","2022-23"
2022-12-21,"Lakers","• LeBron James","","activated from IL","LeBron James","2022-23"
2023-01-09,"Lakers","","• LeBron James","placed on IL with sore left ankle","LeBron James","2022-23"
2023-01-12,"Lakers","• LeBron James","","activated from IL","LeBron James","2022-23"
2023-02-09,"Lakers","","• LeBron James","placed on IL with sore left ankle","LeBron James","2022-23"
2023-02-15,"Lakers","• LeBron James","","activated from IL","LeBron James","2022-23"
2023-02-27,"Lakers","","• LeBron James","placed on IL with right foot injury","LeBron James","2022-23"
2023-03-26,"Lakers","• LeBron James","","activated from IL","LeBron James","2022-23"
2021-02-05,"Spurs","","• Lonnie Walker IV","placed on IL with stomach illness","Lonnie Walker IV","2020-21"
2021-02-09,"Spurs","• Lonnie Walker IV","","activated from IL","Lonnie Walker IV","2020-21"
2021-03-19,"Spurs","","• Lonnie Walker IV","undisclosed (DTD)","Lonnie Walker IV","2020-21"
2021-03-20,"Spurs","• Lonnie Walker IV","","returned to lineup","Lonnie Walker IV","2020-21"
2021-03-23,"Spurs","","• Lonnie Walker IV","right wrist injury (DTD)","Lonnie Walker IV","2020-21"
2021-03-29,"Spurs","","• Lonnie Walker IV","placed on IL with right wrist injury","Lonnie Walker IV","2020-21"
2021-04-09,"Spurs","• Lonnie Walker IV","","activated from IL","Lonnie Walker IV","2020-21"
2017-12-24,"Lakers","","• Lonzo Ball","sprained left shoulder (DTD)","Lonzo Ball","2017-18"
2017-12-25,"Lakers","","• Lonzo Ball","placed on IL with sprained left shoulder","Lonzo Ball","2017-18"
2018-01-05,"Lakers","• Lonzo Ball","","activated from IL","Lonzo Ball","2017-18"
2018-01-15,"Lakers","","• Lonzo Ball","sprained left knee (DTD)","Lonzo Ball","2017-18"
2018-01-17,"Lakers","","• Lonzo Ball","placed on IL with sore/sprained left knee","Lonzo Ball","2017-18"
2018-02-23,"Lakers","• Lonzo Ball","","activated from IL","Lonzo Ball","2017-18"
2018-02-24,"Lakers","","• Lonzo Ball","placed on IL with sore left knee","Lonzo Ball","2017-18"
2018-02-26,"Lakers","• Lonzo Ball","","activated from IL","Lonzo Ball","2017-18"
2018-03-30,"Lakers","","• Lonzo Ball","bruised left knee (out for season)","Lonzo Ball","2017-18"
2018-04-04,"Lakers","","• Lonzo Ball","placed on IL with bruised left knee (out for season)","Lonzo Ball","2017-18"
2019-01-20,"Lakers","","• Lonzo Ball","placed on IL with sprained left ankle (out for season)","Lonzo Ball","2018-19"
2019-11-09,"Pelicans","","• Lonzo Ball","placed on IL with strained right adductor","Lonzo Ball","2019-20"
2019-11-21,"Pelicans","• Lonzo Ball","","activated from IL","Lonzo Ball","2019-20"
2019-11-27,"Pelicans","","• Lonzo Ball","stomach virus (DTD)","Lonzo Ball","2019-20"
2019-12-01,"Pelicans","• Lonzo Ball","","returned to lineup","Lonzo Ball","2019-20"
2021-01-12,"Pelicans","","• Lonzo Ball","placed on IL with knee injury","Lonzo Ball","2020-21"
2021-01-19,"Pelicans","• Lonzo Ball","","activated from IL","Lonzo Ball","2020-21"
2021-03-21,"Pelicans","","• Lonzo Ball","right hip flexor injury (DTD)","Lonzo Ball","2020-21"
2021-03-27,"Pelicans","","• Lonzo Ball","placed on IL with right hip flexor injury","Lonzo Ball","2020-21"
2021-04-04,"Pelicans","• Lonzo Ball","","activated from IL","Lonzo Ball","2020-21"
2021-04-09,"Pelicans","","• Lonzo Ball","placed on IL with left hip flexor injury","Lonzo Ball","2020-21"
2021-04-16,"Pelicans","• Lonzo Ball","","activated from IL","Lonzo Ball","2020-21"
2017-12-18,"Clippers","","• Louis Williams / Lou Williams","sprained left / right foot (DTD)","Lou Williams","2017-18"
2017-12-20,"Clippers","• Louis Williams / Lou Williams","","returned to lineup","Lou Williams","2017-18"
2018-04-09,"Clippers","","• Louis Williams / Lou Williams","sprained right ankle (out for season)","Lou Williams","2017-18"
2014-10-29,"76ers","","• Luc Richard Mbah a Moute / Luc Mbah a Moute","back injury (DTD)","Luc Mbah a Moute","2014-15"
2014-10-31,"76ers","• Luc Richard Mbah a Moute / Luc Mbah a Moute","","returned to lineup","Luc Mbah a Moute","2014-15"
2014-12-27,"76ers","","• Luc Richard Mbah a Moute / Luc Mbah a Moute","strained left calf (DTD)","Luc Mbah a Moute","2014-15"
2015-01-02,"76ers","• Luc Richard Mbah a Moute / Luc Mbah a Moute","","returned to lineup","Luc Mbah a Moute","2014-15"
2015-01-05,"76ers","","• Luc Richard Mbah a Moute / Luc Mbah a Moute","turf toe (DTD)","Luc Mbah a Moute","2014-15"
2015-01-09,"76ers","• Luc Richard Mbah a Moute / Luc Mbah a Moute","","returned to lineup","Luc Mbah a Moute","2014-15"
2015-01-19,"76ers","","• Luc Richard Mbah a Moute / Luc Mbah a Moute","bruised left knee (DTD)","Luc Mbah a Moute","2014-15"
2015-01-23,"76ers","• Luc Richard Mbah a Moute / Luc Mbah a Moute","","returned to lineup","Luc Mbah a Moute","2014-15"
2015-02-22,"76ers","","• Luc Richard Mbah a Moute / Luc Mbah a Moute","personal reasons (DTD)","Luc Mbah a Moute","2014-15"
2015-02-23,"76ers","• Luc Richard Mbah a Moute / Luc Mbah a Moute","","returned to lineup","Luc Mbah a Moute","2014-15"
2015-03-14,"76ers","","• Luc Richard Mbah a Moute / Luc Mbah a Moute","rest (DTD)","Luc Mbah a Moute","2014-15"
2015-03-16,"76ers","• Luc Richard Mbah a Moute / Luc Mbah a Moute","","returned to lineup","Luc Mbah a Moute","2014-15"
2015-03-25,"76ers","","• Luc Richard Mbah a Moute / Luc Mbah a Moute","sore left shoulder (DTD)","Luc Mbah a Moute","2014-15"
2015-03-27,"76ers","• Luc Richard Mbah a Moute / Luc Mbah a Moute","","returned to lineup","Luc Mbah a Moute","2014-15"
2015-03-30,"76ers","","• Luc Richard Mbah a Moute / Luc Mbah a Moute","sore left shoulder (DTD)","Luc Mbah a Moute","2014-15"
2015-04-01,"76ers","• Luc Richard Mbah a Moute / Luc Mbah a Moute","","returned to lineup","Luc Mbah a Moute","2014-15"
2015-04-05,"76ers","","• Luc Richard Mbah a Moute / Luc Mbah a Moute","sore left shoulder (DTD)","Luc Mbah a Moute","2014-15"
2015-04-08,"76ers","• Luc Richard Mbah a Moute / Luc Mbah a Moute","","returned to lineup","Luc Mbah a Moute","2014-15"
2015-04-10,"76ers","","• Luc Richard Mbah a Moute / Luc Mbah a Moute","sore/strained left shoulder (out for season)","Luc Mbah a Moute","2014-15"
2016-02-29,"Clippers","","• Luc Richard Mbah a Moute / Luc Mbah a Moute","lacerated left eyelid (DTD)","Luc Mbah a Moute","2015-16"
2016-03-13,"Clippers","• Luc Richard Mbah a Moute / Luc Mbah a Moute","","returned to lineup","Luc Mbah a Moute","2015-16"
2016-12-14,"Clippers","","• Luc Richard Mbah a Moute / Luc Mbah a Moute","sprained right shoulder (DTD)","Luc Mbah a Moute","2016-17"
2016-12-18,"Clippers","• Luc Richard Mbah a Moute / Luc Mbah a Moute","","returned to lineup","Luc Mbah a Moute","2016-17"
2021-02-04,"Thunder","","• Luguentz Dort","sore left knee (DTD)","Luguentz Dort","2020-21"
2021-02-06,"Thunder","• Luguentz Dort","","returned to lineup","Luguentz Dort","2020-21"
2021-03-14,"Thunder","","• Luguentz Dort","left big toe injury (DTD)","Luguentz Dort","2020-21"
2021-03-18,"Thunder","• Luguentz Dort","","returned to lineup","Luguentz Dort","2020-21"
2021-03-22,"Thunder","","• Luguentz Dort","left big toe injury (DTD)","Luguentz Dort","2020-21"
2021-03-23,"Thunder","• Luguentz Dort","","returned to lineup","Luguentz Dort","2020-21"
2021-03-28,"Thunder","","• Luguentz Dort","placed on IL with concussion","Luguentz Dort","2020-21"
2021-04-10,"Thunder","• Luguentz Dort","","activated from IL","Luguentz Dort","2020-21"
2021-04-14,"Thunder","","• Luguentz Dort","placed on IL with sore left shoulder","Luguentz Dort","2020-21"
2021-04-15,"Thunder","• Luguentz Dort","","activated from IL","Luguentz Dort","2020-21"
2021-04-19,"Thunder","","• Luguentz Dort","placed on IL with strained right hip","Luguentz Dort","2020-21"
2021-04-23,"Thunder","• Luguentz Dort","","activated from IL","Luguentz Dort","2020-21"
2021-04-25,"Thunder","","• Luguentz Dort","placed on IL with strained right hip","Luguentz Dort","2020-21"
2021-04-27,"Thunder","• Luguentz Dort","","activated from IL","Luguentz Dort","2020-21"
2021-04-30,"Thunder","","• Luguentz Dort","placed on IL with strained right hip","Luguentz Dort","2020-21"
2021-11-01,"Thunder","","• Luguentz Dort","bruised right shoulder (DTD)","Luguentz Dort","2021-22"
2021-11-04,"Thunder","• Luguentz Dort","","returned to lineup","Luguentz Dort","2021-22"
2021-12-14,"Thunder","","• Luguentz Dort","placed on IL with sprained left ankle","Luguentz Dort","2021-22"
2021-12-18,"Thunder","• Luguentz Dort","","activated from IL","Luguentz Dort","2021-22"
2022-01-02,"Thunder","","• Luguentz Dort","placed on IL with sore left knee","Luguentz Dort","2021-22"
2022-01-06,"Thunder","• Luguentz Dort","","activated from IL","Luguentz Dort","2021-22"
2022-02-05,"Thunder","","• Luguentz Dort","placed on IL with facial injury","Luguentz Dort","2021-22"
2022-02-07,"Thunder","• Luguentz Dort","","activated from IL","Luguentz Dort","2021-22"
2022-02-14,"Thunder","","• Luguentz Dort","placed on IL with torn labrum in left shoulder (out for season)","Luguentz Dort","2021-22"
2022-12-07,"Thunder","","• Luguentz Dort","placed on IL with bruised left knee","Luguentz Dort","2022-23"
2022-12-10,"Thunder","• Luguentz Dort","","activated from IL","Luguentz Dort","2022-23"
2023-01-26,"Thunder","","• Luguentz Dort","strained right hamstring (DTD)","Luguentz Dort","2022-23"
2023-02-10,"Thunder","• Luguentz Dort","","activated from IL","Luguentz Dort","2022-23"
2018-12-02,"Mavericks","","• Luka Doncic","placed on IL with strained right hip","Luka Dončić","2018-19"
2018-12-04,"Mavericks","• Luka Doncic","","activated from IL","Luka Dončić","2018-19"
2019-01-31,"Mavericks","","• Luka Doncic","sore left ankle (DTD)","Luka Dončić","2018-19"
2019-02-02,"Mavericks","• Luka Doncic","","returned to lineup","Luka Dončić","2018-19"
2019-02-22,"Mavericks","","• Luka Doncic","placed on IL with sore right ankle","Luka Dončić","2018-19"
2019-02-25,"Mavericks","• Luka Doncic","","activated from IL","Luka Dončić","2018-19"
2019-03-16,"Mavericks","","• Luka Doncic","placed on IL with bruised right knee","Luka Dončić","2018-19"
2019-03-18,"Mavericks","• Luka Doncic","","activated from IL","Luka Dončić","2018-19"
2019-03-30,"Mavericks","","• Luka Doncic","bruised right thigh (DTD)","Luka Dončić","2018-19"
2019-03-31,"Mavericks","","• Luka Doncic","placed on IL with bruised right thigh","Luka Dončić","2018-19"
2019-04-03,"Mavericks","• Luka Doncic","","activated from IL","Luka Dončić","2018-19"
2019-04-05,"Mavericks","","• Luka Doncic","placed on IL with bruised right thigh","Luka Dončić","2018-19"
2019-04-09,"Mavericks","• Luka Doncic","","activated from IL","Luka Dončić","2018-19"
2019-04-10,"Mavericks","","• Luka Doncic","left thigh injury (out for season)","Luka Dončić","2018-19"
2019-12-15,"Mavericks","","• Luka Doncic","sprained right ankle (DTD)","Luka Dončić","2019-20"
2019-12-16,"Mavericks","","• Luka Doncic","placed on IL with sprained right ankle","Luka Dončić","2019-20"
2019-12-26,"Mavericks","• Luka Doncic","","activated from IL","Luka Dončić","2019-20"
2020-01-31,"Mavericks","","• Luka Doncic","placed on IL with sprained right ankle","Luka Dončić","2019-20"
2020-02-12,"Mavericks","• Luka Doncic","","activated from IL","Luka Dončić","2019-20"
2020-02-22,"Mavericks","","• Luka Doncic","placed on IL with sore right ankle","Luka Dončić","2019-20"
2020-02-24,"Mavericks","• Luka Doncic","","activated from IL","Luka Dončić","2019-20"
2020-03-01,"Mavericks","","• Luka Doncic","placed on IL with sprained left thumb","Luka Dončić","2019-20"
2020-03-02,"Mavericks","• Luka Doncic","","activated from IL","Luka Dončić","2019-20"
2021-01-03,"Mavericks","","• Luka Doncic","bruised left quadricep (DTD)","Luka Dončić","2020-21"
2021-01-04,"Mavericks","• Luka Doncic","","returned to lineup","Luka Dončić","2020-21"
2021-03-03,"Mavericks","","• Luka Doncic","placed on IL with tightness in lower back","Luka Dončić","2020-21"
2021-03-10,"Mavericks","• Luka Doncic","","activated from IL","Luka Dončić","2020-21"
2021-03-11,"Mavericks","","• Luka Doncic","right ankle injury (DTD)","Luka Dončić","2020-21"
2021-03-13,"Mavericks","• Luka Doncic","","returned to lineup","Luka Dončić","2020-21"
2021-03-26,"Mavericks","","• Luka Doncic","placed on IL with tightness in lower back","Luka Dončić","2020-21"
2021-03-27,"Mavericks","","• Luka Doncic","placed on IL with illness","Luka Dončić","2020-21"
2021-03-28,"Mavericks","• Luka Doncic","","activated from IL","Luka Dončić","2020-21"
